numero_funcionario,departamento,cargo,nivel_do_cargo,viagem_a_trabalho,horas_extras,num_empregos_anteriores,total_anos_experiencia,anos_na_empresa,anos_no_cargo_atual,anos_desde_ultima_promocao,anos_com_mesmo_gerente,desligado,avaliacao_de_desempenho,aumento_percentual_salario,treinamentos_ultimo_ano
1,Vendas,Executivo de Vendas,2,Viaja raramente,1,8,8,6,4,0,5,1,3,11,0
2,Pesquisa e Desenvolvimento,Cientista de Pesquisa,2,Viaja frequentemente,0,1,10,10,7,1,7,0,4,23,3
4,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,1,6,7,0,0,0,0,1,3,15,3
5,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja frequentemente,1,1,8,8,7,3,0,0,3,11,3
7,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,9,6,2,2,2,2,0,3,12,3
8,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja frequentemente,0,0,8,7,7,3,6,0,3,13,2
10,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,1,4,12,1,0,0,0,0,4,20,3
11,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,1,1,1,0,0,0,0,4,22,2
12,Pesquisa e Desenvolvimento,Diretor de Produção,3,Viaja frequentemente,0,0,10,9,7,1,8,0,4,21,2
13,Pesquisa e Desenvolvimento,Representante de Saúde,2,Viaja raramente,0,6,17,7,7,7,7,0,3,13,3
14,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,0,6,5,4,0,3,0,3,13,5
15,Pesquisa e Desenvolvimento,Técnico de Laboratório,2,Viaja raramente,1,0,10,9,5,0,8,0,3,12,3
16,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,1,5,5,2,4,3,0,3,17,1
18,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,0,3,2,2,1,2,0,3,11,2
19,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,1,5,6,4,2,0,3,1,3,14,4
20,Pesquisa e Desenvolvimento,Diretor de Produção,3,Viaja raramente,0,1,10,10,9,8,8,0,3,11,1
21,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,1,0,7,6,2,0,5,0,3,12,5
22,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Não viaja,1,1,1,1,0,0,0,0,3,13,2
23,Vendas,Gerente,4,Viaja raramente,0,2,31,25,8,3,7,0,3,16,3
24,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,1,5,6,3,2,1,2,0,3,11,3
26,Pesquisa e Desenvolvimento,Diretor de Produção,2,Não viaja,0,0,5,4,2,1,3,0,3,18,5
27,Vendas,Representante de Vendas,1,Viaja raramente,0,7,10,5,3,0,3,1,4,23,4
28,Pesquisa e Desenvolvimento,Diretor de Pesquisa,3,Viaja raramente,0,0,13,12,6,2,11,0,3,11,4
30,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,1,0,0,0,0,0,0,3,14,6
31,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,2,8,4,2,1,3,1,3,11,2
32,Pesquisa e Desenvolvimento,Gerente,5,Viaja raramente,0,4,26,14,13,4,8,0,3,11,3
33,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja frequentemente,1,1,10,10,2,6,7,1,4,22,5
35,Vendas,Executivo de Vendas,2,Viaja raramente,0,0,10,9,7,4,2,0,3,11,2
36,Pesquisa e Desenvolvimento,Representante de Saúde,3,Viaja raramente,0,3,24,22,6,5,17,0,3,14,4
38,Vendas,Gerente,5,Viaja raramente,0,3,22,2,2,2,1,0,3,12,2
39,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,4,7,1,1,0,0,0,3,11,3
40,Pesquisa e Desenvolvimento,Representante de Saúde,2,Viaja raramente,1,2,9,4,2,1,3,0,3,13,5
41,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,1,10,10,0,1,8,0,3,13,5
42,Vendas,Representante de Vendas,2,Viaja raramente,0,3,19,1,0,0,0,1,3,14,6
45,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,1,2,6,2,0,2,0,1,3,16,2
46,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,0,1,6,5,3,1,4,0,3,12,3
47,Vendas,Representante de Vendas,1,Viaja raramente,1,1,3,3,2,0,2,1,3,14,2
49,Vendas,Representante de Vendas,1,Viaja raramente,0,1,2,2,2,2,2,0,3,13,3
51,Pesquisa e Desenvolvimento,Cientista de Pesquisa,1,Viaja raramente,1,9,6,1,1,0,0,0,3,14,3
52,Vendas,Executivo de Vendas,2,Viaja frequentemente,0,2,10,5,3,1,3,0,3,19,3
53,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,1,1,1,0,0,0,0,3,12,3
54,Pesquisa e Desenvolvimento,Técnico de Laboratório,1,Viaja raramente,0,1,1,1,0,0,0,0,3,13,6
